test_id,PM2.5,PM10,O3
dongsi_aq#0,51.99473572,106.3404617,43.02594376
dongsi_aq#1,51.41184362,105.8829091,57.43264389
dongsi_aq#2,53.19093959,106.6521009,66.15804291
dongsi_aq#3,51.02799479,99.41560364,78.08369446
dongsi_aq#4,52.24739075,105.4377441,85.04676056
dongsi_aq#5,45.81437302,98.70998383,90.03105164
dongsi_aq#6,46.56627782,93.80569204,91.6646347
dongsi_aq#7,46.72637558,83.35019048,97.8159256
dongsi_aq#8,48.91385651,76.08925502,104.144928
dongsi_aq#9,48.47496796,76.38440704,104.7381516
dongsi_aq#10,48.05390167,74.00765228,91.85022227
dongsi_aq#11,49.12551498,78.57207616,90.17650604
dongsi_aq#12,50.03969701,79.5712471,74.38073985
dongsi_aq#13,50.29494858,80.32930501,79.04757945
dongsi_aq#14,51.14267985,79.67275365,79.71424611
dongsi_aq#15,47.48441505,74.480896,77.48004659
dongsi_aq#16,46.81483714,67.87415059,70.48004659
dongsi_aq#17,48.859279,66.4952774,53.4107844
dongsi_aq#18,47.55398178,67.65103277,44.25051117
dongsi_aq#19,45.37369219,70.17194112,35.13311386
dongsi_aq#20,48.38447126,70.80345408,33.13311386
dongsi_aq#21,50.3621184,71.87383525,29.44742711
dongsi_aq#22,50.12685712,76.47707113,30.44742711
dongsi_aq#23,49.21718725,80.84584045,21.11508624
dongsi_aq#24,40.46345139,75.26017888,46.53834152
dongsi_aq#25,38.40165329,72.36198171,68.68002828
dongsi_aq#26,36.1235466,69.16327159,76.00357437
dongsi_aq#27,40.66084925,82.201636,85.46428935
dongsi_aq#28,40.90834808,70.56930161,95.92427572
dongsi_aq#29,43.53149923,68.05616379,101.8459651
dongsi_aq#30,45.05596034,64.51410802,111.9505971
dongsi_aq#31,43.73799133,72.49443563,113.0348714
dongsi_aq#32,42.87950261,71.6107254,119.7015381
dongsi_aq#33,43.44288762,63.28889592,116.7015381
dongsi_aq#34,44.68590546,62.48581823,123.1000773
dongsi_aq#35,44.73529561,65.97561137,116.766744
dongsi_aq#36,43.22836685,75.68532817,92.53025818
dongsi_aq#37,46.69805781,77.37581635,83.03548686
dongsi_aq#38,48.52205404,83.20502726,82.35776011
dongsi_aq#39,50.06164042,75.38407135,76.03628794
dongsi_aq#40,53.46106084,77.99221293,71.70295461
dongsi_aq#41,49.30762355,78.52770742,59.42055384
dongsi_aq#42,53.05085246,76.83008575,57.12099584
dongsi_aq#43,55.73257192,85.48606618,59.68202972
dongsi_aq#44,63.87991333,89.22804006,59.68202972
dongsi_aq#45,70.80877686,93.93744659,67.0084521
dongsi_aq#46,71.05155691,93.29605103,73.465463
dongsi_aq#47,72.08003235,95.54589844,63.80704625
tiantan_aq#0,44.80252075,97.55245209,35.28608195
tiantan_aq#1,46.88459524,101.3028107,50.16164017
tiantan_aq#2,47.33891678,97.00745392,55.44011688
tiantan_aq#3,43.32390594,92.42326228,69.14813232
tiantan_aq#4,43.73960495,97.96869405,77.23355103
tiantan_aq#5,39.66326396,96.38331858,89.90176137
tiantan_aq#6,45.25285339,100.1528091,90.4007136
tiantan_aq#7,44.86001205,99.76279958,92.06738027
tiantan_aq#8,44.64554024,89.2077624,90.99497223
tiantan_aq#9,42.81360881,82.98047002,88.32830556
tiantan_aq#10,44.57230123,81.97211329,77.307223
tiantan_aq#11,51.87152608,83.78228887,77.73404694
tiantan_aq#12,48.31522497,87.5216217,66.38094076
tiantan_aq#13,47.74247106,88.79259491,64.04760742
tiantan_aq#14,48.75404739,85.05221939,64.38094076
tiantan_aq#15,44.66821035,87.2191391,55.80864207
tiantan_aq#16,43.95604642,88.72392782,48.32252248
tiantan_aq#17,45.40241623,91.37936401,30.6438179
tiantan_aq#18,42.8287398,91.49438477,22.97715123
tiantan_aq#19,43.86818568,87.75231171,19.75962575
tiantan_aq#20,42.34694862,80.38835653,18.19857788
tiantan_aq#21,50.47211266,92.08175405,23.84555054
tiantan_aq#22,49.03834407,86.65531921,24.84555054
tiantan_aq#23,45.82442856,90.20657094,19.18236478
tiantan_aq#24,37.36126773,78.25792694,44.94970385
tiantan_aq#25,32.60382334,78.46716817,66.87966665
tiantan_aq#26,30.06289991,81.72169749,81.50520833
tiantan_aq#27,31.79136848,89.64600118,87.71212514
tiantan_aq#28,35.9945329,84.57196808,96.57025655
tiantan_aq#29,37.12983958,85.2420578,105.9389267
tiantan_aq#30,37.72827276,84.19282532,122.733139
tiantan_aq#31,35.26867549,85.54844157,106.0664724
tiantan_aq#32,33.02164332,76.9338328,116.0664724
tiantan_aq#33,34.74612681,75.03475444,118.0664724
tiantan_aq#34,32.11512311,71.27489726,116.7468669
tiantan_aq#35,27.22443517,71.608579,112.4135335
tiantan_aq#36,30.50728353,68.8494339,77.80277252
tiantan_aq#37,35.37766012,63.47764079,65.65713755
tiantan_aq#38,39.67730967,70.14732869,60.99047089
tiantan_aq#39,39.9102567,69.96983083,51.8109436
tiantan_aq#40,37.92513021,70.85446167,47.86148453
tiantan_aq#41,43.87453588,71.67137909,44.82918421
tiantan_aq#42,42.74742254,68.76242574,45.49585088
tiantan_aq#43,41.86464564,71.71074168,51.12990316
tiantan_aq#44,44.95810191,74.12333425,47.9661204
tiantan_aq#45,44.0654068,77.76220194,52.43266042
tiantan_aq#46,45.85580826,84.38129934,56.64882978
tiantan_aq#47,45.65060806,84.41315715,48.40419261
guanyuan_aq#0,52.61552684,107.4078496,38.93060811
guanyuan_aq#1,53.52630107,106.9570058,61.36347961
guanyuan_aq#2,53.54402033,106.8749619,66.87283834
guanyuan_aq#3,49.99772517,103.682579,75.00606028
guanyuan_aq#4,51.97437795,106.1211904,86.45307668
guanyuan_aq#5,48.78065745,103.8256353,98.21645864
guanyuan_aq#6,51.4431483,102.933993,100.4119797
guanyuan_aq#7,53.64860408,102.7139308,98.32067871
guanyuan_aq#8,51.74307887,99.12957001,106.8225301
guanyuan_aq#9,53.71671168,99.63648987,103.8225301
guanyuan_aq#10,55.98885345,99.82330577,95.96120962
guanyuan_aq#11,56.15231578,101.3199387,100.1558634
guanyuan_aq#12,57.62488874,99.85414124,84.21961212
guanyuan_aq#13,57.07400068,101.6291835,88.585495
guanyuan_aq#14,55.4737428,100.5909297,84.99499003
guanyuan_aq#15,54.43416723,99.51909637,81.97585042
guanyuan_aq#16,54.36106745,102.2776693,68.49235535
guanyuan_aq#17,51.58720589,89.59310659,50.70472972
guanyuan_aq#18,48.81543541,96.05739339,39.37139638
guanyuan_aq#19,45.54975828,86.89831034,35.75911967
guanyuan_aq#20,42.16415914,80.85240428,28.1463178
guanyuan_aq#21,43.75825946,86.79131571,27.08861033
guanyuan_aq#22,51.23057938,98.94157918,25.08861033
guanyuan_aq#23,42.26046817,87.22413127,19.16267522
guanyuan_aq#24,37.16233317,79.98804983,50.44857025
