test_id,PM2.5,PM10,O3
dongsi_aq#0,75 ,145 ,158 
dongsi_aq#1,76 ,140 ,173 
dongsi_aq#2,75 ,145 ,178 
dongsi_aq#3,74 ,144 ,180 
dongsi_aq#4,74 ,137 ,187 
dongsi_aq#5,72 ,129 ,183 
dongsi_aq#6,58 ,128 ,157 
dongsi_aq#7,46 ,107 ,147 
dongsi_aq#8,47 ,116 ,119 
dongsi_aq#9,48 ,115 ,116 
dongsi_aq#10,49 ,118 ,111 
dongsi_aq#11,44 ,112 ,113 
dongsi_aq#12,42 ,109 ,98 
dongsi_aq#13,44 ,110 ,94 
dongsi_aq#14,56 ,113 ,78 
dongsi_aq#15,43 ,114 ,74 
dongsi_aq#16,40 ,113 ,65 
dongsi_aq#17,35 ,113 ,72 
dongsi_aq#18,39 ,114 ,67 
dongsi_aq#19,39 ,84 ,71 
dongsi_aq#20,40 ,85 ,74 
dongsi_aq#21,41 ,87 ,76 
dongsi_aq#22,42 ,86 ,87 
dongsi_aq#23,40 ,85 ,84 
dongsi_aq#24,36 ,81 ,107 
dongsi_aq#25,34 ,82 ,109 
dongsi_aq#26,36 ,86 ,119 
dongsi_aq#27,36 ,86 ,106 
dongsi_aq#28,46 ,91 ,129 
dongsi_aq#29,58 ,103 ,159 
dongsi_aq#30,58 ,104 ,167 
dongsi_aq#31,53 ,106 ,179 
dongsi_aq#32,55 ,114 ,163 
dongsi_aq#33,55 ,118 ,160 
dongsi_aq#34,53 ,124 ,149 
dongsi_aq#35,54 ,122 ,149 
dongsi_aq#36,47 ,107 ,139 
dongsi_aq#37,43 ,98 ,128 
dongsi_aq#38,43 ,92 ,124 
dongsi_aq#39,45 ,89 ,137 
dongsi_aq#40,40 ,84 ,136 
dongsi_aq#41,35 ,97 ,122 
dongsi_aq#42,35 ,93 ,118 
dongsi_aq#43,33 ,82 ,120 
dongsi_aq#44,32 ,70 ,112 
dongsi_aq#45,32 ,69 ,111 
dongsi_aq#46,33 ,70 ,116 
dongsi_aq#47,33 ,74 ,109 
tiantan_aq#0,60 ,120 ,139 
tiantan_aq#1,53 ,122 ,157 
tiantan_aq#2,54 ,137 ,169 
tiantan_aq#3,58 ,131 ,169 
tiantan_aq#4,57 ,117 ,176 
tiantan_aq#5,54 ,105 ,176 
tiantan_aq#6,50 ,102 ,153 
tiantan_aq#7,36 ,93 ,151 
tiantan_aq#8,30 ,98 ,124 
tiantan_aq#9,28 ,97 ,110 
tiantan_aq#10,33 ,98 ,116 
tiantan_aq#11,36 ,94 ,109 
tiantan_aq#12,40 ,94 ,95 
tiantan_aq#13,33 ,80 ,90 
tiantan_aq#14,39 ,80 ,73 
tiantan_aq#15,33 ,82 ,55 
tiantan_aq#16,39 ,85 ,53 
tiantan_aq#17,40 ,94 ,58 
tiantan_aq#18,41 ,107 ,61 
tiantan_aq#19,39 ,99 ,66 
tiantan_aq#20,35 ,95 ,68 
tiantan_aq#21,35 ,96 ,66 
tiantan_aq#22,32 ,87 ,77 
tiantan_aq#23,30 ,87 ,71 
tiantan_aq#24,32 ,81 ,89 
tiantan_aq#25,32 ,69 ,92 
tiantan_aq#26,33 ,69 ,90 
tiantan_aq#27,35 ,74 ,86 
tiantan_aq#28,38 ,82 ,101 
tiantan_aq#29,40 ,92 ,134 
tiantan_aq#30,37 ,92 ,137 
tiantan_aq#31,37 ,90 ,154 
tiantan_aq#32,38 ,91 ,139 
tiantan_aq#33,39 ,92 ,140 
tiantan_aq#34,39 ,87 ,137 
tiantan_aq#35,38 ,89 ,140 
tiantan_aq#36,34 ,82 ,120 
tiantan_aq#37,29 ,77 ,107 
tiantan_aq#38,26 ,75 ,111 
tiantan_aq#39,24 ,64 ,112 
tiantan_aq#40,24 ,63 ,120 
tiantan_aq#41,21 ,73 ,106 
tiantan_aq#42,18 ,75 ,102 
tiantan_aq#43,20 ,65 ,95 
tiantan_aq#44,23 ,65 ,97 
tiantan_aq#45,20 ,68 ,98 
tiantan_aq#46,20 ,70 ,104 
tiantan_aq#47,17 ,63 ,107 
guanyuan_aq#0,75 ,149 ,159 
guanyuan_aq#1,72 ,152 ,169 
guanyuan_aq#2,67 ,135 ,197 
guanyuan_aq#3,66 ,141 ,182 
guanyuan_aq#4,69 ,136 ,187 
guanyuan_aq#5,59 ,138 ,177 
guanyuan_aq#6,53 ,117 ,137 
guanyuan_aq#7,40 ,108 ,120 
guanyuan_aq#8,45 ,112 ,118 
guanyuan_aq#9,44 ,111 ,116 
guanyuan_aq#10,45 ,117 ,102 
guanyuan_aq#11,50 ,112 ,94 
guanyuan_aq#12,52 ,112 ,92 
guanyuan_aq#13,55 ,112 ,90 
guanyuan_aq#14,52 ,111 ,82 
guanyuan_aq#15,46 ,115 ,70 
guanyuan_aq#16,49 ,112 ,67 
guanyuan_aq#17,58 ,114 ,73 
guanyuan_aq#18,62 ,118 ,77 
guanyuan_aq#19,55 ,109 ,85 
guanyuan_aq#20,42 ,105 ,88 
guanyuan_aq#21,42 ,102 ,87 
guanyuan_aq#22,43 ,100 ,88 
guanyuan_aq#23,40 ,86 ,88 
guanyuan_aq#24,40 ,90 ,106 
guanyuan_aq#25,41 ,81 ,106 
guanyuan_aq#26,43 ,91 ,100 
guanyuan_aq#27,45 ,90 ,94 
guanyuan_aq#28,55 ,105 ,124 
guanyuan_aq#29,60 ,107 ,154 
guanyuan_aq#30,55 ,120 ,147 
guanyuan_aq#31,54 ,126 ,156 
guanyuan_aq#32,53 ,126 ,146 
guanyuan_aq#33,56 ,119 ,151 
guanyuan_aq#34,57 ,114 ,149 
guanyuan_aq#35,55 ,120 ,144 
guanyuan_aq#36,54 ,112 ,132 
guanyuan_aq#37,43 ,76 ,110 
guanyuan_aq#38,40 ,77 ,105 
guanyuan_aq#39,39 ,77 ,114 
guanyuan_aq#40,38 ,75 ,122 
guanyuan_aq#41,36 ,74 ,120 
guanyuan_aq#42,36 ,79 ,110 
guanyuan_aq#43,30 ,66 ,113 
guanyuan_aq#44,34 ,67 ,104 
guanyuan_aq#45,32 ,68 ,101 
guanyuan_aq#46,29 ,68 ,108 
guanyuan_aq#47,28 ,73 ,114 
wanshouxig_aq#0,89 ,153 ,150 
wanshouxig_aq#1,91 ,148 ,167 
wanshouxig_aq#2,90 ,150 ,183 
wanshouxig_aq#3,86 ,140 ,185 
wanshouxig_aq#4,84 ,136 ,183 
wanshouxig_aq#5,73 ,138 ,168 
wanshouxig_aq#6,64 ,130 ,148 
wanshouxig_aq#7,56 ,125 ,129 
wanshouxig_aq#8,54 ,127 ,112 
wanshouxig_aq#9,60 ,123 ,113 
wanshouxig_aq#10,60 ,129 ,112 
wanshouxig_aq#11,57 ,133 ,109 
wanshouxig_aq#12,55 ,134 ,107 
wanshouxig_aq#13,57 ,137 ,103 
wanshouxig_aq#14,73 ,135 ,80 
wanshouxig_aq#15,58 ,139 ,69 
wanshouxig_aq#16,58 ,144 ,65 
wanshouxig_aq#17,58 ,150 ,72 
wanshouxig_aq#18,66 ,151 ,76 
wanshouxig_aq#19,64 ,144 ,77 
wanshouxig_aq#20,65 ,131 ,79 
wanshouxig_aq#21,57 ,125 ,77 
wanshouxig_aq#22,58 ,122 ,85 
wanshouxig_aq#23,58 ,123 ,80 
wanshouxig_aq#24,53 ,116 ,93 
wanshouxig_aq#25,54 ,117 ,100 
wanshouxig_aq#26,52 ,117 ,109 
wanshouxig_aq#27,54 ,112 ,111 
