test_id,PM2.5,PM10,O3
dongsi_aq#0,36 ,101 ,124 
dongsi_aq#1,32 ,102 ,120 
dongsi_aq#2,28 ,98 ,122 
dongsi_aq#3,26 ,81 ,111 
dongsi_aq#4,24 ,74 ,121 
dongsi_aq#5,24 ,57 ,123 
dongsi_aq#6,25 ,57 ,124 
dongsi_aq#7,25 ,55 ,125 
dongsi_aq#8,29 ,52 ,128 
dongsi_aq#9,30 ,52 ,136 
dongsi_aq#10,29 ,59 ,132 
dongsi_aq#11,31 ,60 ,117 
dongsi_aq#12,34 ,55 ,100 
dongsi_aq#13,34 ,61 ,74 
dongsi_aq#14,28 ,65 ,65 
dongsi_aq#15,49 ,61 ,53 
dongsi_aq#16,45 ,64 ,45 
dongsi_aq#17,44 ,71 ,55 
dongsi_aq#18,44 ,71 ,50 
dongsi_aq#19,41 ,74 ,49 
dongsi_aq#20,38 ,72 ,51 
dongsi_aq#21,25 ,64 ,57 
dongsi_aq#22,26 ,56 ,71 
dongsi_aq#23,21 ,53 ,72 
dongsi_aq#24,25 ,49 ,93 
dongsi_aq#25,25 ,48 ,97 
dongsi_aq#26,23 ,50 ,93 
dongsi_aq#27,26 ,51 ,101 
dongsi_aq#28,31 ,52 ,104 
dongsi_aq#29,33 ,51 ,107 
dongsi_aq#30,33 ,50 ,108 
dongsi_aq#31,36 ,50 ,125 
dongsi_aq#32,34 ,52 ,118 
dongsi_aq#33,38 ,55 ,126 
dongsi_aq#34,40 ,59 ,109 
dongsi_aq#35,40 ,55 ,125 
dongsi_aq#36,42 ,68 ,124 
dongsi_aq#37,46 ,82 ,93 
dongsi_aq#38,34 ,68 ,101 
dongsi_aq#39,38 ,66 ,104 
dongsi_aq#40,40 ,65 ,99 
dongsi_aq#41,35 ,67 ,87 
dongsi_aq#42,31 ,70 ,84 
dongsi_aq#43,32 ,73 ,69 
dongsi_aq#44,32 ,71 ,68 
dongsi_aq#45,32 ,71 ,83 
dongsi_aq#46,30 ,71 ,96 
dongsi_aq#47,38 ,74 ,92 
tiantan_aq#0,35 ,79 ,112 
tiantan_aq#1,35 ,76 ,109 
tiantan_aq#2,33 ,76 ,114 
tiantan_aq#3,30 ,74 ,108 
tiantan_aq#4,22 ,63 ,116 
tiantan_aq#5,24 ,57 ,114 
tiantan_aq#6,22 ,59 ,114 
tiantan_aq#7,24 ,52 ,115 
tiantan_aq#8,25 ,60 ,115 
tiantan_aq#9,28 ,56 ,131 
tiantan_aq#10,28 ,54 ,126 
tiantan_aq#11,26 ,52 ,114 
tiantan_aq#12,26 ,60 ,97 
tiantan_aq#13,26 ,64 ,81 
tiantan_aq#14,25 ,64 ,69 
tiantan_aq#15,32 ,70 ,52 
tiantan_aq#16,37 ,74 ,38 
tiantan_aq#17,32 ,71 ,38 
tiantan_aq#18,40 ,80 ,35 
tiantan_aq#19,38 ,80 ,35 
tiantan_aq#20,33 ,75 ,41 
tiantan_aq#21,29 ,74 ,47 
tiantan_aq#22,28 ,74 ,57 
tiantan_aq#23,24 ,80 ,63 
tiantan_aq#24,25 ,81 ,74 
tiantan_aq#25,24 ,85 ,76 
tiantan_aq#26,25 ,83 ,75 
tiantan_aq#27,25 ,80 ,81 
tiantan_aq#28,32 ,76 ,92 
tiantan_aq#29,33 ,72 ,97 
tiantan_aq#30,35 ,73 ,106 
tiantan_aq#31,33 ,73 ,120 
tiantan_aq#32,34 ,77 ,108 
tiantan_aq#33,30 ,80 ,119 
tiantan_aq#34,36 ,83 ,115 
tiantan_aq#35,34 ,70 ,131 
tiantan_aq#36,35 ,73 ,126 
tiantan_aq#37,35 ,75 ,106 
tiantan_aq#38,37 ,71 ,105 
tiantan_aq#39,37 ,73 ,106 
tiantan_aq#40,36 ,74 ,96 
tiantan_aq#41,36 ,75 ,85 
tiantan_aq#42,40 ,74 ,75 
tiantan_aq#43,40 ,72 ,60 
tiantan_aq#44,40 ,77 ,62 
tiantan_aq#45,33 ,78 ,75 
tiantan_aq#46,32 ,68 ,93 
tiantan_aq#47,36 ,79 ,96 
guanyuan_aq#0,36 ,70 ,122 
guanyuan_aq#1,33 ,83 ,121 
guanyuan_aq#2,31 ,79 ,124 
guanyuan_aq#3,29 ,77 ,126 
guanyuan_aq#4,31 ,74 ,126 
guanyuan_aq#5,28 ,73 ,125 
guanyuan_aq#6,24 ,71 ,120 
guanyuan_aq#7,25 ,69 ,122 
guanyuan_aq#8,22 ,71 ,123 
guanyuan_aq#9,22 ,69 ,123 
guanyuan_aq#10,29 ,79 ,136 
guanyuan_aq#11,41 ,77 ,106 
guanyuan_aq#12,48 ,72 ,106 
guanyuan_aq#13,44 ,75 ,80 
guanyuan_aq#14,38 ,75 ,73 
guanyuan_aq#15,25 ,72 ,63 
guanyuan_aq#16,26 ,72 ,63 
guanyuan_aq#17,30 ,75 ,54 
guanyuan_aq#18,32 ,77 ,53 
guanyuan_aq#19,32 ,68 ,51 
guanyuan_aq#20,36 ,70 ,52 
guanyuan_aq#21,29 ,71 ,66 
guanyuan_aq#22,33 ,69 ,79 
guanyuan_aq#23,34 ,68 ,85 
guanyuan_aq#24,34 ,67 ,96 
guanyuan_aq#25,32 ,68 ,94 
guanyuan_aq#26,33 ,68 ,84 
guanyuan_aq#27,33 ,68 ,83 
guanyuan_aq#28,40 ,71 ,96 
guanyuan_aq#29,45 ,74 ,101 
guanyuan_aq#30,48 ,73 ,120 
guanyuan_aq#31,47 ,71 ,125 
guanyuan_aq#32,48 ,70 ,124 
guanyuan_aq#33,48 ,79 ,120 
guanyuan_aq#34,49 ,76 ,122 
guanyuan_aq#35,42 ,76 ,117 
guanyuan_aq#36,44 ,81 ,123 
guanyuan_aq#37,42 ,82 ,109 
guanyuan_aq#38,44 ,75 ,111 
guanyuan_aq#39,46 ,73 ,114 
guanyuan_aq#40,44 ,77 ,109 
guanyuan_aq#41,45 ,76 ,108 
guanyuan_aq#42,44 ,78 ,101 
guanyuan_aq#43,42 ,80 ,90 
guanyuan_aq#44,47 ,75 ,90 
guanyuan_aq#45,46 ,78 ,88 
guanyuan_aq#46,43 ,76 ,86 
guanyuan_aq#47,40 ,82 ,96 
wanshouxig_aq#0,28 ,101 ,123 
wanshouxig_aq#1,29 ,106 ,122 
wanshouxig_aq#2,30 ,106 ,118 
wanshouxig_aq#3,32 ,94 ,113 
wanshouxig_aq#4,33 ,95 ,110 
wanshouxig_aq#5,27 ,89 ,109 
wanshouxig_aq#6,28 ,79 ,103 
wanshouxig_aq#7,26 ,89 ,104 
wanshouxig_aq#8,24 ,72 ,107 
wanshouxig_aq#9,28 ,63 ,128 
wanshouxig_aq#10,32 ,72 ,122 
wanshouxig_aq#11,33 ,68 ,112 
wanshouxig_aq#12,36 ,75 ,101 
wanshouxig_aq#13,38 ,79 ,81 
wanshouxig_aq#14,34 ,83 ,72 
wanshouxig_aq#15,35 ,83 ,53 
wanshouxig_aq#16,33 ,95 ,40 
wanshouxig_aq#17,31 ,90 ,46 
wanshouxig_aq#18,37 ,85 ,39 
wanshouxig_aq#19,35 ,89 ,36 
wanshouxig_aq#20,33 ,90 ,44 
wanshouxig_aq#21,31 ,86 ,48 
wanshouxig_aq#22,28 ,78 ,59 
wanshouxig_aq#23,25 ,75 ,70 
wanshouxig_aq#24,22 ,75 ,75 
wanshouxig_aq#25,19 ,77 ,78 
wanshouxig_aq#26,18 ,70 ,81 
wanshouxig_aq#27,19 ,74 ,85 
wanshouxig_aq#28,24 ,77 ,99 
wanshouxig_aq#29,26 ,72 ,97 
wanshouxig_aq#30,28 ,69 ,107 
wanshouxig_aq#31,29 ,75 ,109 
wanshouxig_aq#32,26 ,85 ,112 
wanshouxig_aq#33,29 ,88 ,116 
wanshouxig_aq#34,31 ,87 ,105 
wanshouxig_aq#35,33 ,89 ,125 
wanshouxig_aq#36,32 ,83 ,118 
wanshouxig_aq#37,34 ,87 ,103 
wanshouxig_aq#38,27 ,86 ,103 
wanshouxig_aq#39,26 ,81 ,106 
wanshouxig_aq#40,28 ,89 ,89 
wanshouxig_aq#41,28 ,85 ,74 
wanshouxig_aq#42,30 ,73 ,73 
wanshouxig_aq#43,34 ,74 ,62 
wanshouxig_aq#44,29 ,73 ,63 
wanshouxig_aq#45,36 ,76 ,73 
wanshouxig_aq#46,32 ,76 ,96 
wanshouxig_aq#47,39 ,82 ,102 
aotizhongx_aq#0,29 ,79 ,107 
aotizhongx_aq#1,31 ,79 ,104 
aotizhongx_aq#2,33 ,78 ,112 
aotizhongx_aq#3,28 ,77 ,113 
aotizhongx_aq#4,24 ,75 ,114 
aotizhongx_aq#5,27 ,74 ,107 
aotizhongx_aq#6,24 ,69 ,104 
aotizhongx_aq#7,24 ,68 ,101 
aotizhongx_aq#8,25 ,59 ,102 
aotizhongx_aq#9,25 ,61 ,143 
aotizhongx_aq#10,23 ,66 ,122 
aotizhongx_aq#11,25 ,60 ,116 
aotizhongx_aq#12,35 ,81 ,98 
aotizhongx_aq#13,41 ,78 ,78 
aotizhongx_aq#14,37 ,71 ,73 
aotizhongx_aq#15,38 ,68 ,65 
aotizhongx_aq#16,32 ,74 ,59 
aotizhongx_aq#17,37 ,77 ,48 
aotizhongx_aq#18,40 ,86 ,46 
aotizhongx_aq#19,35 ,86 ,40 
aotizhongx_aq#20,33 ,87 ,39 
aotizhongx_aq#21,29 ,84 ,42 
aotizhongx_aq#22,29 ,80 ,65 
aotizhongx_aq#23,27 ,78 ,63 
aotizhongx_aq#24,30 ,76 ,71 
aotizhongx_aq#25,29 ,75 ,70 
aotizhongx_aq#26,29 ,71 ,78 
aotizhongx_aq#27,27 ,76 ,85 
aotizhongx_aq#28,28 ,77 ,79 
aotizhongx_aq#29,28 ,86 ,87 
aotizhongx_aq#30,30 ,90 ,92 
aotizhongx_aq#31,33 ,91 ,112 
aotizhongx_aq#32,30 ,89 ,104 
aotizhongx_aq#33,35 ,94 ,97 
aotizhongx_aq#34,32 ,94 ,98 
aotizhongx_aq#35,28 ,89 ,87 
aotizhongx_aq#36,31 ,87 ,85 
aotizhongx_aq#37,34 ,76 ,78 
aotizhongx_aq#38,30 ,74 ,78 
aotizhongx_aq#39,31 ,76 ,81 
aotizhongx_aq#40,34 ,70 ,83 
aotizhongx_aq#41,32 ,69 ,73 
aotizhongx_aq#42,29 ,72 ,72 
aotizhongx_aq#43,28 ,71 ,57 
aotizhongx_aq#44,32 ,82 ,57 
aotizhongx_aq#45,33 ,80 ,68 
aotizhongx_aq#46,35 ,78 ,71 
aotizhongx_aq#47,38 ,76 ,70 
nongzhangu_aq#0,31 ,83 ,122 
nongzhangu_aq#1,31 ,89 ,124 
nongzhangu_aq#2,33 ,91 ,122 
nongzhangu_aq#3,31 ,78 ,114 
nongzhangu_aq#4,27 ,74 ,119 
nongzhangu_aq#5,27 ,66 ,115 
nongzhangu_aq#6,27 ,63 ,112 
nongzhangu_aq#7,28 ,63 ,115 
nongzhangu_aq#8,27 ,66 ,119 
nongzhangu_aq#9,33 ,68 ,129 
nongzhangu_aq#10,32 ,71 ,128 
nongzhangu_aq#11,35 ,71 ,119 
nongzhangu_aq#12,40 ,66 ,88 
nongzhangu_aq#13,36 ,74 ,70 
