test_id,PM2.5,PM10,O3
dongsi_aq#0,44 ,63 ,139 
dongsi_aq#1,53 ,78 ,168 
dongsi_aq#2,56 ,77 ,188 
dongsi_aq#3,73 ,75 ,196 
dongsi_aq#4,62 ,74 ,199 
dongsi_aq#5,55 ,72 ,201 
dongsi_aq#6,49 ,69 ,194 
dongsi_aq#7,50 ,68 ,189 
dongsi_aq#8,50 ,78 ,176 
dongsi_aq#9,42 ,72 ,170 
dongsi_aq#10,44 ,86 ,166 
dongsi_aq#11,56 ,100 ,152 
dongsi_aq#12,71 ,92 ,131 
dongsi_aq#13,67 ,86 ,118 
dongsi_aq#14,60 ,90 ,98 
dongsi_aq#15,54 ,89 ,77 
dongsi_aq#16,50 ,72 ,80 
dongsi_aq#17,49 ,71 ,74 
dongsi_aq#18,51 ,68 ,85 
dongsi_aq#19,55 ,57 ,85 
dongsi_aq#20,54 ,56 ,82 
dongsi_aq#21,57 ,60 ,81 
dongsi_aq#22,50 ,60 ,90 
dongsi_aq#23,51 ,59 ,69 
dongsi_aq#24,55 ,102 ,90 
dongsi_aq#25,56 ,112 ,97 
dongsi_aq#26,61 ,119 ,96 
dongsi_aq#27,64 ,116 ,99 
dongsi_aq#28,55 ,115 ,121 
dongsi_aq#29,61 ,111 ,133 
dongsi_aq#30,54 ,91 ,160 
dongsi_aq#31,51 ,92 ,154 
dongsi_aq#32,59 ,84 ,145 
dongsi_aq#33,68 ,78 ,149 
dongsi_aq#34,74 ,109 ,144 
dongsi_aq#35,78 ,90 ,160 
dongsi_aq#36,76 ,114 ,160 
dongsi_aq#37,73 ,113 ,148 
dongsi_aq#38,71 ,104 ,105 
dongsi_aq#39,78 ,109 ,103 
dongsi_aq#40,72 ,104 ,82 
dongsi_aq#41,73 ,106 ,75 
dongsi_aq#42,68 ,108 ,63 
dongsi_aq#43,67 ,102 ,58 
dongsi_aq#44,64 ,104 ,58 
dongsi_aq#45,71 ,109 ,65 
dongsi_aq#46,64 ,113 ,90 
dongsi_aq#47,66 ,116 ,120 
tiantan_aq#0,40 ,79 ,128 
tiantan_aq#1,42 ,87 ,146 
tiantan_aq#2,39 ,85 ,158 
tiantan_aq#3,68 ,94 ,163 
tiantan_aq#4,66 ,91 ,172 
tiantan_aq#5,53 ,98 ,167 
tiantan_aq#6,55 ,94 ,159 
tiantan_aq#7,44 ,90 ,144 
tiantan_aq#8,48 ,86 ,143 
tiantan_aq#9,53 ,78 ,137 
tiantan_aq#10,61 ,81 ,131 
tiantan_aq#11,54 ,92 ,108 
tiantan_aq#12,57 ,85 ,113 
tiantan_aq#13,48 ,86 ,111 
tiantan_aq#14,49 ,86 ,98 
tiantan_aq#15,54 ,82 ,80 
tiantan_aq#16,45 ,84 ,75 
tiantan_aq#17,45 ,85 ,76 
tiantan_aq#18,43 ,71 ,73 
tiantan_aq#19,43 ,65 ,77 
tiantan_aq#20,42 ,79 ,75 
tiantan_aq#21,37 ,69 ,68 
tiantan_aq#22,42 ,60 ,84 
tiantan_aq#23,41 ,63 ,68 
tiantan_aq#24,76 ,124 ,90 
tiantan_aq#25,78 ,113 ,86 
tiantan_aq#26,74 ,123 ,110 
tiantan_aq#27,72 ,124 ,108 
tiantan_aq#28,60 ,117 ,119 
tiantan_aq#29,54 ,104 ,113 
tiantan_aq#30,55 ,98 ,135 
tiantan_aq#31,65 ,105 ,137 
tiantan_aq#32,68 ,87 ,131 
tiantan_aq#33,66 ,80 ,116 
tiantan_aq#34,63 ,117 ,111 
tiantan_aq#35,65 ,120 ,115 
tiantan_aq#36,71 ,124 ,114 
tiantan_aq#37,69 ,119 ,117 
tiantan_aq#38,74 ,119 ,103 
tiantan_aq#39,68 ,118 ,95 
tiantan_aq#40,58 ,102 ,66 
tiantan_aq#41,61 ,98 ,58 
tiantan_aq#42,59 ,117 ,45 
tiantan_aq#43,60 ,119 ,46 
tiantan_aq#44,60 ,112 ,43 
tiantan_aq#45,62 ,110 ,65 
tiantan_aq#46,69 ,120 ,102 
tiantan_aq#47,70 ,131 ,127 
guanyuan_aq#0,51 ,119 ,175 
guanyuan_aq#1,53 ,109 ,184 
guanyuan_aq#2,52 ,109 ,204 
guanyuan_aq#3,89 ,112 ,198 
guanyuan_aq#4,85 ,122 ,189 
