test_id,PM2.5,PM10,O3
dongsi_aq#0,59.64244652,90.96115875,85.14966202
dongsi_aq#1,69.40654945,93.17896652,83.21078491
dongsi_aq#2,67.52252579,93.92569351,72.66870117
dongsi_aq#3,70.36983681,91.49662399,54.36510468
dongsi_aq#4,67.71143532,98.67914963,50.62957001
dongsi_aq#5,66.67758369,96.8023262,59.94693375
dongsi_aq#6,70.91719055,84.63768005,76.50601959
dongsi_aq#7,67.21083641,77.81885147,76.78092575
dongsi_aq#8,75.54159737,83.2716465,74.31895065
dongsi_aq#9,60.8829937,87.54590225,88.92917442
dongsi_aq#10,52.1042881,93.56944275,86.78961945
dongsi_aq#11,58.07164764,89.8544426,75.08518028
dongsi_aq#12,57.75906944,83.62854195,81.93056679
dongsi_aq#13,57.23674774,96.95196152,82.771492
dongsi_aq#14,64.20033836,132.7334042,67.48924446
dongsi_aq#15,62.30290031,93.805933,70.55760765
dongsi_aq#16,63.87914848,80.77403069,65.26161575
dongsi_aq#17,55.26733589,83.898386,66.34557724
dongsi_aq#18,56.49363518,87.84010124,60.58639908
dongsi_aq#19,55.8289299,87.89986801,62.49579048
dongsi_aq#20,54.63897133,98.71253777,54.09298706
dongsi_aq#21,50.96821976,104.6467113,66.6799469
dongsi_aq#22,49.08554459,136.0765038,66.97244453
dongsi_aq#23,52.28922653,153.0594482,61.61836624
dongsi_aq#24,52.38820267,162.1912384,38.26571369
dongsi_aq#25,60.26895714,174.2878113,44.73053837
dongsi_aq#26,61.81478119,171.2476768,39.98967648
dongsi_aq#27,58.3595829,130.6904755,41.65357494
dongsi_aq#28,57.49888802,127.9009018,48.97602654
dongsi_aq#29,54.51276207,144.96875,54.78502464
dongsi_aq#30,49.59433556,144.9637737,71.35930634
dongsi_aq#31,41.15351772,136.244051,77.12243652
dongsi_aq#32,41.38228989,136.8556156,74.79714203
dongsi_aq#33,32.29627895,139.7801533,85.2437439
dongsi_aq#34,31.60738564,146.4704361,85.27900696
dongsi_aq#35,58.07979584,161.0334873,91.88208389
dongsi_aq#36,63.81956387,186.0338707,98.18892288
dongsi_aq#37,68.97016525,173.0459404,86.62786484
dongsi_aq#38,78.25732994,139.6830292,80.00157166
dongsi_aq#39,74.66543961,139.1200371,60.70438766
dongsi_aq#40,48.83974266,119.2561493,56.07475662
dongsi_aq#41,44.34610367,101.7463531,58.31891632
dongsi_aq#42,39.19688988,93.88499832,55.79597282
dongsi_aq#43,39.66090202,92.7546463,52.15706825
dongsi_aq#44,36.87436867,103.1398315,52.47608185
dongsi_aq#45,41.75512123,102.1352768,59.40628624
dongsi_aq#46,48.15408897,98.16710663,60.51240349
dongsi_aq#47,47.61669922,117.668499,67.71614075
tiantan_aq#0,40.74910355,87.69587708,64.08459091
tiantan_aq#1,45.2878952,76.51607513,61.17537308
tiantan_aq#2,42.85619736,76.2930336,58.08218384
tiantan_aq#3,41.05806923,79.38121414,38.93611717
tiantan_aq#4,43.95553017,82.83629608,37.32121468
tiantan_aq#5,43.92216873,87.47974014,43.159935
tiantan_aq#6,48.11056328,83.5710144,59.56783867
tiantan_aq#7,48.08545494,103.5368958,74.71819878
tiantan_aq#8,42.95710182,112.3498535,68.35511398
tiantan_aq#9,46.34451866,121.310318,73.42555046
tiantan_aq#10,53.39109039,140.0606384,78.9170742
tiantan_aq#11,55.30373764,137.3535194,60.26228905
tiantan_aq#12,54.18406677,154.8410721,57.73880577
tiantan_aq#13,53.53153992,160.6471062,56.31520271
tiantan_aq#14,49.05261993,161.9065971,54.42876053
tiantan_aq#15,54.56554985,147.8810196,56.8843441
tiantan_aq#16,50.52612686,164.7781906,54.61326218
tiantan_aq#17,47.03046799,169.2949829,50.18152809
tiantan_aq#18,45.45418739,136.4684906,50.82699203
tiantan_aq#19,43.50801849,161.0597038,50.66121864
tiantan_aq#20,42.79986954,168.4120064,46.47052193
tiantan_aq#21,44.16987991,169.6274452,44.2166481
tiantan_aq#22,45.4986248,217.3163109,43.67943382
tiantan_aq#23,48.11421394,205.0010567,45.60448647
tiantan_aq#24,50.08872414,193.3277168,31.68380737
tiantan_aq#25,47.61668015,185.1679268,33.38911438
tiantan_aq#26,45.43407059,174.148838,28.52626896
tiantan_aq#27,44.09609032,172.8548965,35.77287674
tiantan_aq#28,80.78193474,139.0218277,48.47585201
tiantan_aq#29,55.5621891,151.1445236,47.59902382
tiantan_aq#30,48.15876579,149.0791931,50.27597046
tiantan_aq#31,47.83161354,136.1728401,49.80114746
tiantan_aq#32,44.7676506,144.1830387,48.63965702
tiantan_aq#33,26.15152454,135.358654,59.13656044
tiantan_aq#34,23.95416164,141.3674164,64.82401848
tiantan_aq#35,27.63595772,163.2485199,70.19567871
tiantan_aq#36,30.6653614,129.9479485,70.75333405
tiantan_aq#37,32.92733192,107.3161087,74.39639091
tiantan_aq#38,35.64958,124.4105225,59.16158295
tiantan_aq#39,45.05245018,188.6744804,43.60739899
tiantan_aq#40,55.4397068,202.1153831,47.29689598
tiantan_aq#41,56.28486252,197.8405876,54.27702141
tiantan_aq#42,55.31895828,133.8228607,50.24878502
tiantan_aq#43,47.65455246,138.3761292,41.81882763
tiantan_aq#44,48.43455505,141.4696617,44.64840698
tiantan_aq#45,53.64579773,120.252964,42.47493935
tiantan_aq#46,57.46892166,130.7335587,53.576231
tiantan_aq#47,54.26581573,143.9026947,65.84999657
guanyuan_aq#0,82.74770737,94.82395172,77.12520599
guanyuan_aq#1,86.12136078,111.7278748,76.90140915
guanyuan_aq#2,102.6466484,116.1725922,93.61669159
guanyuan_aq#3,111.5578041,114.7477684,80.82131195
guanyuan_aq#4,116.1704578,106.627018,79.31086349
guanyuan_aq#5,108.6735249,107.8920593,86.80148697
guanyuan_aq#6,101.3056107,102.1693954,102.4345169
guanyuan_aq#7,72.69168282,93.55151367,113.5309868
guanyuan_aq#8,66.60473824,95.2274437,98.51745987
guanyuan_aq#9,68.58926964,119.745739,102.0480766
guanyuan_aq#10,69.79607201,131.7161293,97.19454575
guanyuan_aq#11,91.81119919,291.13377,92.00778961
guanyuan_aq#12,97.39505005,296.988678,89.55571365
guanyuan_aq#13,101.633358,293.9394035,92.53442383
guanyuan_aq#14,102.6500587,264.5882568,93.40837479
guanyuan_aq#15,99.18833542,235.4565964,86.98482132
guanyuan_aq#16,94.67384911,237.0005684,89.91861725
guanyuan_aq#17,92.19713402,229.0241508,89.91864777
guanyuan_aq#18,82.26539421,188.3617554,63.37627792
guanyuan_aq#19,81.40049553,188.7234192,75.81533051
guanyuan_aq#20,60.68187332,121.2535324,64.34288597
guanyuan_aq#21,58.46179962,117.2180462,65.63829231
guanyuan_aq#22,61.04767609,94.64072037,63.20391083
guanyuan_aq#23,62.88438988,97.23634338,60.42573547
guanyuan_aq#24,61.57367516,82.77378273,50.83509254
guanyuan_aq#25,56.67794991,104.5186501,53.76526642
guanyuan_aq#26,56.4543457,124.0265427,48.76915359
guanyuan_aq#27,52.74499512,114.0680008,61.00557137
guanyuan_aq#28,52.70076942,88.9474678,62.35587502
guanyuan_aq#29,59.17319679,90.93209457,70.88031387
guanyuan_aq#30,45.66930389,76.10387039,78.82808685
guanyuan_aq#31,54.86687469,71.77273369,82.51701355
guanyuan_aq#32,47.89032841,63.66848183,80.8323288
guanyuan_aq#33,38.4664917,70.45638275,97.14073181
guanyuan_aq#34,40.10636234,67.57382011,96.19760513
guanyuan_aq#35,44.17382813,68.14215851,102.9177704
guanyuan_aq#36,55.14422798,77.83831024,102.6148109
guanyuan_aq#37,54.13859749,144.442276,95.62984085
guanyuan_aq#38,61.57379532,158.3657112,82.99514771
guanyuan_aq#39,59.82474327,156.2166023,60.93073654
guanyuan_aq#40,54.44501495,154.2820778,57.68304825
guanyuan_aq#41,54.81651688,153.214077,66.97479248
guanyuan_aq#42,67.54112816,142.3800087,68.31641388
guanyuan_aq#43,70.8474102,85.50073242,55.49845695
guanyuan_aq#44,77.54641914,84.31330872,52.38173294
guanyuan_aq#45,76.47993469,94.07986069,55.55873871
guanyuan_aq#46,87.66547775,100.0838242,55.25915718
guanyuan_aq#47,90.18521118,125.3278656,63.910326
wanshouxig_aq#0,50.26903534,107.7059364,72.91749954
wanshouxig_aq#1,55.79309654,103.1496086,71.81744385
wanshouxig_aq#2,56.31138039,97.63758469,67.56530762
wanshouxig_aq#3,56.29026794,96.73199081,55.37508774
wanshouxig_aq#4,53.65756798,107.2205315,49.63698196
wanshouxig_aq#5,45.57351494,100.3517113,49.18463707
wanshouxig_aq#6,50.31222534,108.862133,56.66624069
wanshouxig_aq#7,54.00326347,179.9623222,74.39036942
wanshouxig_aq#8,48.41865158,196.4146652,78.85865784
wanshouxig_aq#9,57.93264389,213.1764526,92.37330246
wanshouxig_aq#10,50.71133804,230.1322289,92.74577713
wanshouxig_aq#11,52.85375214,232.6919632,85.76119995
wanshouxig_aq#12,108.5682106,209.773613,74.02996063
wanshouxig_aq#13,86.73057175,210.5970039,71.85663223
wanshouxig_aq#14,50.87797546,206.3073807,66.90754318
wanshouxig_aq#15,50.54239464,192.9317856,69.57062531
wanshouxig_aq#16,50.5136528,189.4819679,61.93845749
wanshouxig_aq#17,53.70587158,196.3243828,63.39072037
wanshouxig_aq#18,52.66863823,191.4959831,53.88844299
wanshouxig_aq#19,51.43990135,253.1827049,54.00589752
wanshouxig_aq#20,53.48040009,260.2966805,59.73717117
wanshouxig_aq#21,69.53931427,267.3457184,56.63413239
wanshouxig_aq#22,76.00445747,288.3500748,55.11727524
wanshouxig_aq#23,71.48714828,265.0587425,51.11747932
wanshouxig_aq#24,82.99261093,309.4962883,34.97303104
wanshouxig_aq#25,70.86775398,309.7692719,38.76100159
wanshouxig_aq#26,69.47284508,313.6712914,32.30980682
wanshouxig_aq#27,75.51253128,340.4991837,46.36136055
wanshouxig_aq#28,75.43071175,293.298008,53.33345032
wanshouxig_aq#29,71.9914093,271.5833931,58.00664902
wanshouxig_aq#30,72.82287788,279.3053322,79.97971725
wanshouxig_aq#31,70.41536903,266.4526405,86.98878098
wanshouxig_aq#32,58.09716892,270.7246666,81.93743515
wanshouxig_aq#33,43.46511364,266.1183128,90.4166832
wanshouxig_aq#34,42.36878777,272.0592728,86.79431915
wanshouxig_aq#35,49.7333374,271.9420815,88.42579269
wanshouxig_aq#36,44.30000305,269.6258392,98.7713623
wanshouxig_aq#37,47.29265404,134.2363129,88.0316124
wanshouxig_aq#38,61.1353302,140.3047791,78.24348831
wanshouxig_aq#39,41.24075508,130.6937599,77.97865677
wanshouxig_aq#40,43.97182655,133.1663132,78.08094978
wanshouxig_aq#41,46.21475601,219.4423828,80.13813019
wanshouxig_aq#42,61.88378143,263.216465,64.87861061
wanshouxig_aq#43,69.45508957,268.249157,66.76795387
wanshouxig_aq#44,73.77990532,272.4113235,72.70437431
wanshouxig_aq#45,81.91300011,292.7081871,80.70521164
wanshouxig_aq#46,81.2436676,267.8390694,80.68032455
wanshouxig_aq#47,71.54332542,307.6064758,79.80797577
aotizhongx_aq#0,64.12117004,92.87929153,67.26475525
aotizhongx_aq#1,64.45891953,92.19189835,68.03609467
aotizhongx_aq#2,54.62983704,88.79500961,59.93970871
aotizhongx_aq#3,49.81420326,91.96852493,46.15352249
aotizhongx_aq#4,53.18788338,106.2359962,40.40654182
aotizhongx_aq#5,47.24129105,96.55059814,55.07905579
aotizhongx_aq#6,51.84936142,104.912899,63.95605469
aotizhongx_aq#7,49.35505486,94.05292511,62.00312042
aotizhongx_aq#8,54.22612953,89.06665802,62.46224213
aotizhongx_aq#9,58.7884407,100.6874542,63.54425049
aotizhongx_aq#10,59.35485077,107.9500351,68.73407745
aotizhongx_aq#11,57.78353691,94.19146347,73.10397339
aotizhongx_aq#12,53.79707718,90.71381378,70.62392807
aotizhongx_aq#13,61.15131187,91.58358002,71.85017967
aotizhongx_aq#14,54.41513634,92.07289505,73.49949455
aotizhongx_aq#15,53.30711174,82.44389343,70.63632393
aotizhongx_aq#16,49.61956978,82.75307846,65.03384399
aotizhongx_aq#17,46.39256859,83.37449265,60.48946381
aotizhongx_aq#18,46.2350235,83.17864609,62.81471252
aotizhongx_aq#19,45.06314087,83.25717163,58.42691803
aotizhongx_aq#20,46.45417595,80.90162659,48.02585411
