test_id,PM2.5,PM10,O3
dongsi_aq#0,87,138,124
dongsi_aq#1,85,132,134
dongsi_aq#2,82,138,131
dongsi_aq#3,83,139,157
dongsi_aq#4,72,137,172
dongsi_aq#5,82,131,175
dongsi_aq#6,82,133,180
dongsi_aq#7,86,138,185
dongsi_aq#8,84,145,185
dongsi_aq#9,85,162,194
dongsi_aq#10,87,148,194
dongsi_aq#11,95,165,193
dongsi_aq#12,97,158,191
dongsi_aq#13,97,162,186
dongsi_aq#14,96,171,141
dongsi_aq#15,96,167,111
dongsi_aq#16,96,156,100
dongsi_aq#17,95,150,96
dongsi_aq#18,99,148,75
dongsi_aq#19,104,140,63
dongsi_aq#20,113,143,52
dongsi_aq#21,112,146,52
dongsi_aq#22,95,151,55
dongsi_aq#23,82,158,51
dongsi_aq#24,78,150,70
dongsi_aq#25,73,136,96
dongsi_aq#26,75,139,115
dongsi_aq#27,70,129,125
dongsi_aq#28,73,121,137
dongsi_aq#29,54,118,158
dongsi_aq#30,42,120,192
dongsi_aq#31,51,112,163
dongsi_aq#32,51,110,146
dongsi_aq#33,60,114,142
dongsi_aq#34,55,107,141
dongsi_aq#35,52,97,161
dongsi_aq#36,80,104,179
dongsi_aq#37,71,107,176
dongsi_aq#38,72,98,177
dongsi_aq#39,76,96,164
dongsi_aq#40,81,95,137
dongsi_aq#41,80,100,134
dongsi_aq#42,78,88,107
dongsi_aq#43,49,85,97
dongsi_aq#44,52,87,75
dongsi_aq#45,67,91,94
dongsi_aq#46,68,90,132
dongsi_aq#47,61,96,132
tiantan_aq#0,75,130,122
tiantan_aq#1,76,134,128
tiantan_aq#2,74,133,140
tiantan_aq#3,75,132,144
tiantan_aq#4,74,124,165
tiantan_aq#5,77,135,170
tiantan_aq#6,74,134,177
tiantan_aq#7,75,128,179
tiantan_aq#8,75,140,181
tiantan_aq#9,75,146,182
tiantan_aq#10,57,135,180
tiantan_aq#11,56,135,169
tiantan_aq#12,56,131,161
tiantan_aq#13,59,122,152
tiantan_aq#14,60,140,114
tiantan_aq#15,57,142,96
tiantan_aq#16,56,115,83
tiantan_aq#17,56,112,79
tiantan_aq#18,59,107,58
tiantan_aq#19,55,112,44
tiantan_aq#20,57,107,38
tiantan_aq#21,58,108,35
tiantan_aq#22,58,106,38
tiantan_aq#23,61,107,48
tiantan_aq#24,58,106,71
tiantan_aq#25,47,81,82
tiantan_aq#26,44,84,111
tiantan_aq#27,40,99,114
tiantan_aq#28,47,92,123
tiantan_aq#29,37,96,133
tiantan_aq#30,37,109,173
tiantan_aq#31,33,95,145
tiantan_aq#32,28,92,143
tiantan_aq#33,31,98,155
tiantan_aq#34,32,95,153
tiantan_aq#35,27,77,151
tiantan_aq#36,48,70,147
tiantan_aq#37,49,65,141
tiantan_aq#38,46,70,135
tiantan_aq#39,46,75,137
tiantan_aq#40,46,71,104
tiantan_aq#41,46,65,98
tiantan_aq#42,47,60,84
tiantan_aq#43,31,61,57
tiantan_aq#44,32,62,53
tiantan_aq#45,47,63,81
tiantan_aq#46,38,61,87
tiantan_aq#47,36,62,111
guanyuan_aq#0,91,151,124
guanyuan_aq#1,85,156,139
guanyuan_aq#2,80,153,156
guanyuan_aq#3,81,157,159
guanyuan_aq#4,79,156,157
guanyuan_aq#5,79,159,166
guanyuan_aq#6,87,164,174
guanyuan_aq#7,86,157,186
guanyuan_aq#8,89,155,201
guanyuan_aq#9,85,161,203
guanyuan_aq#10,90,171,194
guanyuan_aq#11,83,186,206
guanyuan_aq#12,83,194,200
guanyuan_aq#13,82,193,190
guanyuan_aq#14,82,161,159
guanyuan_aq#15,82,150,121
guanyuan_aq#16,81,152,99
guanyuan_aq#17,72,151,95
guanyuan_aq#18,79,148,92
guanyuan_aq#19,85,145,88
guanyuan_aq#20,82,143,79
guanyuan_aq#21,80,147,60
guanyuan_aq#22,87,151,66
guanyuan_aq#23,82,151,76
guanyuan_aq#24,86,151,94
guanyuan_aq#25,88,142,131
guanyuan_aq#26,86,144,135
guanyuan_aq#27,82,139,136
guanyuan_aq#28,77,143,144
guanyuan_aq#29,64,142,158
guanyuan_aq#30,63,143,191
guanyuan_aq#31,52,123,180
guanyuan_aq#32,53,125,188
guanyuan_aq#33,55,127,180
guanyuan_aq#34,56,124,176
guanyuan_aq#35,55,118,179
guanyuan_aq#36,48,125,171
guanyuan_aq#37,85,121,185
guanyuan_aq#38,84,123,175
guanyuan_aq#39,79,125,163
guanyuan_aq#40,80,122,140
guanyuan_aq#41,83,117,134
guanyuan_aq#42,50,107,113
guanyuan_aq#43,64,96,110
guanyuan_aq#44,63,106,100
guanyuan_aq#45,60,110,102
guanyuan_aq#46,59,109,120
guanyuan_aq#47,93,115,127
wanshouxig_aq#0,94,165,114
wanshouxig_aq#1,95,168,116
wanshouxig_aq#2,94,175,138
wanshouxig_aq#3,90,161,145
wanshouxig_aq#4,89,160,138
wanshouxig_aq#5,90,162,168
wanshouxig_aq#6,91,164,168
wanshouxig_aq#7,94,162,170
wanshouxig_aq#8,98,182,186
wanshouxig_aq#9,95,184,188
wanshouxig_aq#10,88,209,179
wanshouxig_aq#11,94,219,182
wanshouxig_aq#12,92,211,165
wanshouxig_aq#13,92,204,167
wanshouxig_aq#14,90,184,124
wanshouxig_aq#15,85,164,99
wanshouxig_aq#16,90,162,92
wanshouxig_aq#17,89,161,90
wanshouxig_aq#18,89,161,69
wanshouxig_aq#19,87,160,38
wanshouxig_aq#20,93,156,30
wanshouxig_aq#21,94,161,49
wanshouxig_aq#22,101,162,56
wanshouxig_aq#23,95,159,53
wanshouxig_aq#24,90,158,86
wanshouxig_aq#25,98,162,112
wanshouxig_aq#26,97,167,126
wanshouxig_aq#27,92,155,128
wanshouxig_aq#28,91,158,136
wanshouxig_aq#29,78,181,143
wanshouxig_aq#30,62,171,178
wanshouxig_aq#31,58,163,166
wanshouxig_aq#32,62,158,176
wanshouxig_aq#33,68,159,177
wanshouxig_aq#34,67,163,169
wanshouxig_aq#35,64,172,173
wanshouxig_aq#36,67,167,176
wanshouxig_aq#37,70,151,173
wanshouxig_aq#38,69,143,159
wanshouxig_aq#39,71,126,153
wanshouxig_aq#40,62,129,118
wanshouxig_aq#41,63,129,114
wanshouxig_aq#42,57,128,86
wanshouxig_aq#43,50,119,93
wanshouxig_aq#44,49,121,70
wanshouxig_aq#45,58,138,97
wanshouxig_aq#46,57,128,117
wanshouxig_aq#47,57,135,141
aotizhongx_aq#0,93,121,128
aotizhongx_aq#1,100,114,134
aotizhongx_aq#2,99,116,144
aotizhongx_aq#3,94,113,144
aotizhongx_aq#4,91,119,147
aotizhongx_aq#5,91,131,169
aotizhongx_aq#6,82,121,163
aotizhongx_aq#7,82,122,184
aotizhongx_aq#8,92,147,199
aotizhongx_aq#9,94,129,197
aotizhongx_aq#10,80,133,195
aotizhongx_aq#11,82,134,195
aotizhongx_aq#12,87,135,179
aotizhongx_aq#13,90,136,178
aotizhongx_aq#14,92,129,132
aotizhongx_aq#15,91,119,112
aotizhongx_aq#16,98,118,99
aotizhongx_aq#17,97,111,76
aotizhongx_aq#18,96,106,57
aotizhongx_aq#19,98,116,39
aotizhongx_aq#20,101,130,36
aotizhongx_aq#21,99,132,42
aotizhongx_aq#22,101,136,40
aotizhongx_aq#23,99,131,41
aotizhongx_aq#24,101,136,69
aotizhongx_aq#25,105,130,93
aotizhongx_aq#26,101,119,120
aotizhongx_aq#27,95,117,136
aotizhongx_aq#28,85,120,131
aotizhongx_aq#29,63,132,139
aotizhongx_aq#30,62,111,181
aotizhongx_aq#31,59,98,166
aotizhongx_aq#32,57,110,171
aotizhongx_aq#33,59,118,169
aotizhongx_aq#34,59,115,169
aotizhongx_aq#35,56,123,176
aotizhongx_aq#36,57,120,169
aotizhongx_aq#37,90,121,177
aotizhongx_aq#38,88,126,179
aotizhongx_aq#39,77,108,160
aotizhongx_aq#40,82,116,147
aotizhongx_aq#41,81,117,123
aotizhongx_aq#42,62,114,88
aotizhongx_aq#43,63,121,81
aotizhongx_aq#44,59,125,75
aotizhongx_aq#45,54,123,69
aotizhongx_aq#46,75,126,100
aotizhongx_aq#47,72,120,108
nongzhangu_aq#0,86,133,117
nongzhangu_aq#1,83,134,124
nongzhangu_aq#2,80,136,138
nongzhangu_aq#3,86,138,139
nongzhangu_aq#4,86,142,139
nongzhangu_aq#5,86,141,171
nongzhangu_aq#6,86,144,179
nongzhangu_aq#7,87,151,183
nongzhangu_aq#8,91,156,192
nongzhangu_aq#9,94,156,194
nongzhangu_aq#10,85,153,185
nongzhangu_aq#11,85,156,186
nongzhangu_aq#12,88,165,174
nongzhangu_aq#13,90,167,169
nongzhangu_aq#14,87,159,130
nongzhangu_aq#15,88,149,101
nongzhangu_aq#16,85,148,88
nongzhangu_aq#17,86,149,77
nongzhangu_aq#18,87,145,73
nongzhangu_aq#19,87,142,58
nongzhangu_aq#20,90,141,47
nongzhangu_aq#21,88,141,40
nongzhangu_aq#22,87,144,46
nongzhangu_aq#23,94,139,48
nongzhangu_aq#24,96,141,73
nongzhangu_aq#25,97,128,77
nongzhangu_aq#26,87,115,96
nongzhangu_aq#27,89,134,105
nongzhangu_aq#28,87,128,123
nongzhangu_aq#29,84,141,144
nongzhangu_aq#30,58,146,159
nongzhangu_aq#31,59,141,139
nongzhangu_aq#32,61,134,138
nongzhangu_aq#33,61,130,144
nongzhangu_aq#34,64,142,153
nongzhangu_aq#35,63,142,158
nongzhangu_aq#36,80,124,178
nongzhangu_aq#37,79,117,177
nongzhangu_aq#38,78,110,173
nongzhangu_aq#39,78,98,158
nongzhangu_aq#40,73,97,142
nongzhangu_aq#41,67,97,105
nongzhangu_aq#42,68,98,84
nongzhangu_aq#43,64,84,65
nongzhangu_aq#44,67,83,70
nongzhangu_aq#45,67,87,84
nongzhangu_aq#46,68,87,120
nongzhangu_aq#47,69,89,118
wanliu_aq#0,110,166,124
wanliu_aq#1,109,172,155
wanliu_aq#2,108,175,151
wanliu_aq#3,109,178,171
wanliu_aq#4,104,183,181
wanliu_aq#5,113,175,184
wanliu_aq#6,113,179,179
wanliu_aq#7,103,178,184
wanliu_aq#8,114,182,190
wanliu_aq#9,114,179,192
wanliu_aq#10,114,180,190
wanliu_aq#11,111,179,190
wanliu_aq#12,108,167,185
wanliu_aq#13,110,155,164
wanliu_aq#14,111,147,145
wanliu_aq#15,98,136,126
wanliu_aq#16,97,137,91
wanliu_aq#17,97,128,78
wanliu_aq#18,96,130,67
wanliu_aq#19,100,139,48
wanliu_aq#20,97,110,50
wanliu_aq#21,99,109,51
wanliu_aq#22,100,112,65
wanliu_aq#23,100,124,58
wanliu_aq#24,100,119,87
wanliu_aq#25,100,121,113
wanliu_aq#26,98,122,126
wanliu_aq#27,97,123,138
wanliu_aq#28,82,129,151
wanliu_aq#29,80,124,146
wanliu_aq#30,77,137,186
wanliu_aq#31,53,118,174
wanliu_aq#32,34,118,172
wanliu_aq#33,31,116,178
wanliu_aq#34,40,106,178
wanliu_aq#35,43,96,177
wanliu_aq#36,51,100,171
wanliu_aq#37,66,78,184
wanliu_aq#38,78,83,174
wanliu_aq#39,80,94,173
wanliu_aq#40,80,98,149
wanliu_aq#41,55,95,130
wanliu_aq#42,56,92,110
wanliu_aq#43,55,89,96
wanliu_aq#44,53,91,95
wanliu_aq#45,56,92,95
wanliu_aq#46,56,92,120
wanliu_aq#47,58,89,124
beibuxinqu_aq#0,111,163,115
beibuxinqu_aq#1,114,168,142
beibuxinqu_aq#2,112,180,151
beibuxinqu_aq#3,100,177,160
beibuxinqu_aq#4,94,174,165
beibuxinqu_aq#5,97,184,170
beibuxinqu_aq#6,91,180,169
beibuxinqu_aq#7,91,175,168
beibuxinqu_aq#8,92,170,176
beibuxinqu_aq#9,89,169,170
beibuxinqu_aq#10,88,165,158
beibuxinqu_aq#11,86,158,133
beibuxinqu_aq#12,69,137,115
beibuxinqu_aq#13,70,147,85
beibuxinqu_aq#14,69,132,55
beibuxinqu_aq#15,73,126,40
beibuxinqu_aq#16,78,123,37
beibuxinqu_aq#17,76,115,35
beibuxinqu_aq#18,73,113,23
beibuxinqu_aq#19,72,115,23
beibuxinqu_aq#20,77,104,23
beibuxinqu_aq#21,73,127,34
beibuxinqu_aq#22,70,133,68
beibuxinqu_aq#23,70,128,102
beibuxinqu_aq#24,70,138,129
beibuxinqu_aq#25,71,142,148
beibuxinqu_aq#26,71,144,159
beibuxinqu_aq#27,71,163,180
beibuxinqu_aq#28,69,170,176
beibuxinqu_aq#29,70,170,177
beibuxinqu_aq#30,71,172,173
beibuxinqu_aq#31,69,128,177
beibuxinqu_aq#32,58,131,171
beibuxinqu_aq#33,56,122,173
beibuxinqu_aq#34,62,119,172
beibuxinqu_aq#35,64,115,162
beibuxinqu_aq#36,64,113,136
beibuxinqu_aq#37,63,109,119
beibuxinqu_aq#38,55,100,87
beibuxinqu_aq#39,61,98,47
beibuxinqu_aq#40,59,85,48
beibuxinqu_aq#41,57,79,46
beibuxinqu_aq#42,58,61,44
beibuxinqu_aq#43,57,62,25
beibuxinqu_aq#44,58,64,37
beibuxinqu_aq#45,56,75,37
beibuxinqu_aq#46,57,82,39
beibuxinqu_aq#47,60,83,111
zhiwuyuan_aq#0,72,126,84
zhiwuyuan_aq#1,79,123,100
zhiwuyuan_aq#2,77,129,112
zhiwuyuan_aq#3,78,128,149
zhiwuyuan_aq#4,74,129,151
zhiwuyuan_aq#5,74,137,157
zhiwuyuan_aq#6,83,146,150
zhiwuyuan_aq#7,87,142,169
zhiwuyuan_aq#8,86,152,172
zhiwuyuan_aq#9,86,167,175
zhiwuyuan_aq#10,64,158,174
zhiwuyuan_aq#11,64,157,174
zhiwuyuan_aq#12,62,151,160
zhiwuyuan_aq#13,69,128,142
zhiwuyuan_aq#14,61,137,116
zhiwuyuan_aq#15,50,137,92
zhiwuyuan_aq#16,51,112,67
zhiwuyuan_aq#17,57,113,61
